;Gebiet mit 20 x 20 Zellen, groﬂer Weg
S,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9
1,9,9,9,9,9,1,1,9,9,1,9,9,9,9,9,9,9,9,9
1,9,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9
1,9,9,9,9,9,9,1,9,9,1,9,9,9,9,9,1,9,9,9
1,9,9,9,1,1,1,1,9,9,1,9,9,9,9,9,1,9,9,9
1,9,9,9,1,9,9,9,9,9,1,9,9,9,9,9,1,9,9,9
1,9,9,9,1,9,9,9,9,9,1,9,9,9,9,9,1,1,1,1
1,9,9,9,1,1,9,9,9,9,1,9,9,9,9,9,1,9,9,1
1,9,9,9,9,1,9,9,9,9,1,1,9,9,9,9,1,9,9,1
1,9,9,9,9,1,9,9,9,9,9,1,9,9,9,9,1,9,9,1
1,9,9,9,9,1,9,9,9,9,9,1,9,9,9,9,1,9,9,1
1,1,1,9,9,1,9,9,9,9,1,1,9,9,9,9,1,9,9,1
9,9,1,9,9,1,9,9,9,9,1,9,9,9,9,9,1,9,9,1
9,9,1,9,9,1,9,9,9,9,1,9,9,9,9,9,1,9,9,1
9,9,1,9,9,1,9,9,9,9,1,9,9,9,9,9,1,9,9,1
9,9,1,9,9,1,9,9,9,9,1,1,1,1,9,9,1,9,9,1
9,9,1,9,9,1,9,9,9,9,9,9,9,1,9,9,1,9,9,1
9,9,1,1,1,1,9,9,9,9,9,9,9,1,9,9,1,9,9,1
9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z
